src_url,english_names,japanese_names
https://en.wikipedia.org/wiki/Koji_Murofushi,Koji Alexander Murofushi,広治アレクサンダー室伏
https://en.wikipedia.org/wiki/Shoko_Asahara,Shoko Asahara,麻原 彰晃
https://en.wikipedia.org/wiki/Kazuhide_Uekusa,Kazuhide Uekusa,植草 一秀
https://en.wikipedia.org/wiki/Masayoshi_%22Mabo%22_Kabe,Masayoshi Kabe,加部 正義
https://en.wikipedia.org/wiki/Taigen_Sessai,Sessai Chōrō,雪斎長老
https://en.wikipedia.org/wiki/Gunpei_Yokoi,Gunpei Yokoi,横井 軍平
https://en.wikipedia.org/wiki/Emperor_Go-Toba,Emperor Go-Toba,後鳥羽天皇
https://en.wikipedia.org/wiki/Ryutaro_Hashimoto,Ryutaro Hashimoto,橋本 龍太郎
https://en.wikipedia.org/wiki/Hiroko_Shimabukuro,Hiroko Shimabukuro,島袋 寛子
https://en.wikipedia.org/wiki/Miyoshi_Yoshitsugu,Miyoshi Yoshitsugu,三好 義継
https://en.wikipedia.org/wiki/Tokugawa_Yoshimune,Tokugawa Yoshimune,徳川 吉宗
https://en.wikipedia.org/wiki/Sanj%C5%8D_Sanetomi,Prince Sanjō Sanetomi,三条 実美
https://en.wikipedia.org/wiki/Isoroku_Yamamoto,World War I,山本 五十六
https://en.wikipedia.org/wiki/Yui_Makino,Yui Makino,牧野 由依
https://en.wikipedia.org/wiki/Sugita_Kaoru,Kaoru Hashimoto,橋本 薫
https://en.wikipedia.org/wiki/Tatsuya_Ishii,Tatsuya Ishii,石井竜也
https://en.wikipedia.org/wiki/Shigeru_Yoshida,Shigeru Yoshida,吉田 茂
https://en.wikipedia.org/wiki/Matsudaira_Nobutsuna,Matsudaira Nobutsuna,松平 信綱
https://en.wikipedia.org/wiki/Tamio_Okuda,Tamio Okuda,奥田 民生
https://en.wikipedia.org/wiki/Miyuu_Sawai,Miyuu Sawai,沢井 美優
https://en.wikipedia.org/wiki/Hagiwara_Mai,Mai Hagiwara,萩原 舞
https://en.wikipedia.org/wiki/Junko_Sakurada,Junko Sakurada,桜田 淳子
https://en.wikipedia.org/wiki/Erina_Mano,Erina Mano,真野恵里菜
https://en.wikipedia.org/wiki/Sakai_Tadayo,Sakai Tadayo,酒井 忠世
https://en.wikipedia.org/wiki/%C5%8Ctomo_no_Otomaro,Ōtomo no Otomaro,大伴 弟麻呂; 大伴 乙麻呂
https://en.wikipedia.org/wiki/Moe_Oshikiri,Moe Oshikiri,押切 もえ
https://en.wikipedia.org/wiki/Tomomi_Kasai,Tomomi Kasai,河西 智美
https://en.wikipedia.org/wiki/Ch%C5%8Dsokabe_Motochika,Chōsokabe Motochika,長宗我部 元親
https://en.wikipedia.org/wiki/Ijuin_Tadaaki,Ijuin Tada'aki,伊集院忠朗
https://en.wikipedia.org/wiki/Riho_Sayashi,Riho Sayashi,鞘師里保 Sayashi Riho
https://en.wikipedia.org/wiki/Hasekura_Tsunenaga,Hasekura Rokuemon Tsunenaga,支倉 六右衛門 常長
https://en.wikipedia.org/wiki/Hosokawa_Gracia,Hosokawa Tama,細川玉
https://en.wikipedia.org/wiki/Yoshihiro_Tsurumi,Yoshihiro Tsurumi,霍見 芳浩
https://en.wikipedia.org/wiki/Toki_Yorinari,Toki Yorinari,土岐 頼芸
https://en.wikipedia.org/wiki/Kazushige_Nagashima,Kazushige Nagashima,長嶋 一茂
https://en.wikipedia.org/wiki/Tatsuya_Ueda,Tatsuya Ueda,上田 竜也
https://en.wikipedia.org/wiki/Taira_no_Kiyomori,Taira no Kiyomori,平 清盛
https://en.wikipedia.org/wiki/Takeru_Kobayashi,Takeru Kobayashi,小林 尊
https://en.wikipedia.org/wiki/Paul_Tsuchihashi,Paul Yachita Tsuchihashi,土橋 八千太
https://en.wikipedia.org/wiki/Kenichi_Horie,Kenichi Horie,堀江謙一
https://en.wikipedia.org/wiki/Masao_Maruyama_(scholar),Masao Maruyama,丸山 眞男
https://en.wikipedia.org/wiki/Jokichi_Takamine,Takamine Jōkichi,高峰 譲吉
https://en.wikipedia.org/wiki/Yuko_Oshima,Yuko Oshima,大島 優子
https://en.wikipedia.org/wiki/Kiyoura_Keigo,Count Kiyoura Keigo,清浦 奎吾
https://en.wikipedia.org/wiki/Minamoto_no_Yoshitomo,Minamoto no Yoshitomo,源 義朝
https://en.wikipedia.org/wiki/Niwa_Nagashige,Niwa Nagashige,丹羽 長重
https://en.wikipedia.org/wiki/Kanon_Suzuki,Kanon Suzuki,鈴木 香音
https://en.wikipedia.org/wiki/Hitomi_Watanabe,Hitomi Watanabe,渡辺 眸
https://en.wikipedia.org/wiki/Matsudaira_Nobuyasu,Matsudaira Nobuyasu,松平 信康
https://en.wikipedia.org/wiki/Takanori_Nishikawa,Takanori Nishikawa,西川 貴教
https://en.wikipedia.org/wiki/Ryohei_Chiba,W-inds,ウィンズ
https://en.wikipedia.org/wiki/Yu_Yokoyama,You Yokoyama,横山 裕
https://en.wikipedia.org/wiki/Azai_Sukemasa,Azai Sukemasa,浅井 亮政
https://en.wikipedia.org/wiki/Kimura_Takuya,Takuya Kimura,木村 拓哉
https://en.wikipedia.org/wiki/Susumu_Tonegawa,Susumu Tonegawa,利根川 進
https://en.wikipedia.org/wiki/Hiroo_Onoda,Hiroo Onoda,小野田 寛郎
https://en.wikipedia.org/wiki/Chitose_Hajime,Chitose Hajime,元 ちとせ
https://en.wikipedia.org/wiki/Rena_Matsui,Rena Matsui,松井 玲奈
https://en.wikipedia.org/wiki/Sanada_Masayuki,Sanada Masayuki,真田 安房守 昌幸
https://en.wikipedia.org/wiki/Yuko_Ogura,Yuko Ogura,小倉 優子
https://en.wikipedia.org/wiki/Seki_K%C5%8Dwa,Seki Takakazu,関 孝和
https://en.wikipedia.org/wiki/Watanabe_no_Tsuna,Watanabe no Tsuna,渡邊 綱
https://en.wikipedia.org/wiki/Daisaku_Ikeda,Daisaku Ikeda,池田 大作
https://en.wikipedia.org/wiki/Jin_Akanishi,Jin Akanishi,赤西 仁
https://en.wikipedia.org/wiki/Miho_Komatsu,Miho Komatsu,小松 未歩
https://en.wikipedia.org/wiki/Ry%C5%ABz%C5%8Dji_clan,Ryūzōji clan,龍造寺氏
https://en.wikipedia.org/wiki/Ch%C5%8Dsokabe_Kunichika,Chōsokabe Kunichika,長宗我部 国親
https://en.wikipedia.org/wiki/Shigeaki_Kato,Shigeaki Kato,加藤 シゲアキ
https://en.wikipedia.org/wiki/San%27y%C5%ABtei_Ench%C5%8D,Sanyutei Encho I,初代 三遊亭 圓朝(円朝)
https://en.wikipedia.org/wiki/Terada_Torahiko,Torahiko Terada,寺田 寅彦
